,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
22,LRCETH,0.00000556,3.295,0.00017378,0.00016911,0.00017430,67.00000000,0.00017396,222.00000000,0.00017514,1747.00000000,0.00016874,0.00017518,0.00016774,181221.00000000,31.49197921,1674323698873,1674410098873,4637806,4638148,343
23,QTUMBTC,0.00000480,4.408,0.00011276,0.00010820,0.00011370,231.30000000,0.00011350,97.30000000,0.00011380,198.60000000,0.00010890,0.00011500,0.00010880,47403.10000000,5.34501573,1674323691801,1674410091801,23682753,23685175,2423
24,YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
25,OMGBTC,0.00000290,4.932,0.00006047,0.00005840,0.00006170,15.00000000,0.00006150,557.80000000,0.00006170,1866.10000000,0.00005880,0.00006190,0.00005850,48902.20000000,2.95713877,1674323691794,1674410091794,25960577,25961745,1169
26,OMGETH,0.00004100,5.012,0.00084569,0.00081800,0.00085900,38.50000000,0.00085000,8.40000000,0.00085700,179.60000000,0.00081800,0.00086500,0.00081800,6662.50000000,5.63438890,1674323687587,1674410087587,5874225,5874316,92
27,ZRXBTC,0.00000049,5.062,0.00001013,0.00000968,0.00001017,587.00000000,0.00001012,2151.00000000,0.00001016,2152.00000000,0.00000968,0.00001079,0.00000967,634216.00000000,6.42664542,1674323699041,1674410099041,25066032,25067839,1808
28,ZRXETH,0.00000490,3.611,0.00014222,0.00013650,0.00014060,188.00000000,0.00013950,3633.00000000,0.00014060,4965.00000000,0.00013570,0.00014900,0.00013570,119312.00000000,16.96842950,1674323691860,1674410091860,5343478,5343681,204
29,STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
30,STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
31,SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
32,SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
33,BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
34,BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
35,KNCBTC,0.00000094,2.603,0.00003691,0.00003607,0.00003705,112.20000000,0.00003699,11.30000000,0.00003702,202.90000000,0.00003611,0.00003789,0.00003602,251395.90000000,9.27815688,1674323697166,1674410097166,19753582,19757286,3705
36,KNCETH,0.00000420,0.826,0.00051632,0.00050480,0.00051290,180.80000000,0.00051050,10.10000000,0.00051280,1178.50000000,0.00050870,0.00052980,0.00050700,45812.10000000,23.65348664,1674323691898,1674410091898,4724705,4725144,440
37,FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
38,FUNETH,-0.00000022,-4.711,0.00000456,0.00000469,0.00000445,2635.00000000,0.00000443,250598.00000000,0.00000446,16256.00000000,0.00000467,0.00000469,0.00000441,9042317.00000000,41.25189313,1674323662947,1674410062947,3125013,3125713,701
39,SNMBTC,0.00000031,1.233,0.00002519,0.00002523,0.00002546,51.00000000,0.00002541,780.00000000,0.00002546,51.00000000,0.00002515,0.00002565,0.00002475,480629.00000000,12.10880459,1674323697860,1674410097860,13214201,13216263,2063
40,SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
41,NEOETH,0.00012000,2.495,0.00490845,0.00482000,0.00493000,1.77000000,0.00493000,159.47000000,0.00494000,146.36000000,0.00481000,0.00499000,0.00481000,21258.34000000,104.34540270,1674323615119,1674410015119,11078449,11079041,593
42,IOTABTC,0.00000054,5.702,0.00000981,0.00000946,0.00001001,2431.00000000,0.00000998,1854.00000000,0.00001000,1617.00000000,0.00000947,0.00001012,0.00000945,627207.00000000,6.15269613,1674323692170,1674410092170,33881777,33883270,1494
43,IOTAETH,0.00000570,4.289,0.00013734,0.00013280,0.00013860,239.00000000,0.00013800,5.00000000,0.00013840,3132.00000000,0.00013290,0.00014160,0.00013200,87442.00000000,12.00924090,1674323676425,1674410076425,7737802,7737945,144
44,LINKBTC,0.00001560,5.217,0.00030726,0.00029890,0.00031460,138.44000000,0.00031450,211.15000000,0.00031460,234.73000000,0.00029900,0.00031820,0.00029890,535699.89000000,164.59994915,1674323696754,1674410096754,85825156,85844978,19823
45,LINKETH,0.00015500,3.694,0.00428980,0.00419500,0.00435100,22.41000000,0.00434700,107.34000000,0.00435000,45.84000000,0.00419600,0.00443100,0.00419500,184511.78000000,791.51852992,1674323696245,1674410096245,18796269,18808057,11789
46,XVGBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
47,XVGETH,0.00000000,0.000,0.00000180,0.00000178,0.00000179,25968.00000000,0.00000178,43358.00000000,0.00000180,1141298.00000000,0.00000179,0.00000184,0.00000176,11336004.00000000,20.43642488,1674323657841,1674410057841,10932335,10932851,517
48,SALTBTC,0.00000000,0.000,0.00000000,0.00004250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
49,SALTETH,0.00000000,0.000,0.00000000,0.00113800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
50,MDABTC,0.00000000,0.000,0.00000000,0.00000382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
51,MDAETH,0.00000000,0.000,0.00000000,0.00181150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
52,MTLBTC,0.00000050,1.245,0.00004038,0.00003995,0.00004067,2.60000000,0.00004071,118.60000000,0.00004090,4.80000000,0.00004017,0.00004095,0.00003993,17154.50000000,0.69275172,1674323646489,1674410046489,20065959,20066693,735
53,MTLETH,0.00000460,0.823,0.00056466,0.00056700,0.00056360,822.10000000,0.00056170,926.70000000,0.00056930,34.30000000,0.00055900,0.00057400,0.00055870,6961.50000000,3.93086699,1674323676314,1674410076314,3058866,3058916,51
54,SUBBTC,0.00000000,0.000,0.00000000,0.00000457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
55,SUBETH,0.00000000,0.000,0.00000000,0.00012334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
56,EOSBTC,0.00000310,6.874,0.00004730,0.00004520,0.00004820,30.20000000,0.00004820,452.50000000,0.00004830,2811.70000000,0.00004510,0.00004970,0.00004500,472035.90000000,22.32738005,1674323695846,1674410095846,73735306,73739106,3801
57,SNTBTC,0.00000001,0.885,0.00000113,0.00000113,0.00000114,4338.00000000,0.00000113,161607.00000000,0.00000114,44084.00000000,0.00000113,0.00000114,0.00000111,5149036.00000000,5.80500189,1674323697837,1674410097837,12252414,12253411,998
58,ETCETH,0.00043000,3.197,0.01377759,0.01345000,0.01388000,3.80000000,0.01386000,8.71000000,0.01392000,33.47000000,0.01345000,0.01446000,0.01337000,9096.25000000,125.32437490,1674323661834,1674410061834,8541880,8542899,1020
59,ETCBTC,0.00004400,4.588,0.00098707,0.00095800,0.00100300,5.23000000,0.00100300,24.23000000,0.00100400,179.29000000,0.00095900,0.00103300,0.00095100,115846.17000000,114.34843629,1674323691796,1674410091796,42727104,42737609,10506
60,MTHBTC,0.00000000,0.000,0.00000000,0.00000023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
61,MTHETH,0.00000000,0.000,0.00000000,0.00004135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
62,ENGBTC,0.00000000,0.000,0.00000000,0.00006200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
63,ENGETH,0.00000000,0.000,0.00000000,0.00186480,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
64,DNTBTC,0.00000000,0.000,0.00000000,0.00000186,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
65,ZECBTC,0.00002400,1.143,0.00211147,0.00209500,0.00212300,2.95900000,0.00212200,106.20700000,0.00212400,9.08500000,0.00209900,0.00213600,0.00208300,12969.69200000,27.38509109,1674323697655,1674410097655,27401188,27405013,3826
66,ZECETH,0.00006000,0.205,0.02966759,0.02935000,0.02938000,1.12400000,0.02927000,30.71700000,0.02941000,25.88200000,0.02932000,0.02997000,0.02918000,893.75600000,26.51558366,1674323697830,1674410097830,3541507,3541689,183
67,BNTBTC,0.00000061,3.391,0.00001819,0.00001800,0.00001860,122.80000000,0.00001854,475.00000000,0.00001859,1648.70000000,0.00001799,0.00001868,0.00001780,55061.10000000,1.00173648,1674323699014,1674410099014,7933812,7934522,711
68,ASTBTC,-0.00000007,-1.602,0.00000438,0.00000433,0.00000430,1680.00000000,0.00000429,120.00000000,0.00000430,21820.00000000,0.00000437,0.00000445,0.00000430,719006.00000000,3.14676467,1674323681651,1674410081651,16398366,16399357,992
69,ASTETH,0.00000000,0.000,0.00000000,0.00006960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
70,DASHBTC,0.00004300,1.892,0.00228896,0.00227100,0.00231600,0.61500000,0.00231600,6.69800000,0.00231900,0.44500000,0.00227300,0.00233500,0.00225100,4443.68000000,10.17140255,1674323693862,1674410093862,27026602,27029345,2744
71,DASHETH,-0.00002000,-0.063,0.03205040,0.03182000,0.03194000,0.28300000,0.03199000,14.03900000,0.03206000,0.15600000,0.03196000,0.03263000,0.03172000,336.55300000,10.78665866,1674323692695,1674410092695,3836417,3836659,243
72,OAXBTC,-0.00000008,-1.187,0.00000668,0.00000675,0.00000666,39.00000000,0.00000666,6415.00000000,0.00000668,3366.00000000,0.00000674,0.00000688,0.00000654,3499020.00000000,23.38402427,1674323688137,1674410088137,13411966,13416753,4788
73,ICNBTC,0.00000000,0.000,0.00000000,0.00005742,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
74,BTGBTC,0.00000000,0.000,0.00000000,0.00091300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
